match_id,color,team_id,team_slug,team_name,team_region,core_shots,core_goals,core_saves,core_assists,core_score,core_shooting_percentage,boost_bpm,boost_bcpm,boost_avg_amount,boost_amount_collected,boost_amount_stolen,boost_amount_collected_big,boost_amount_stolen_big,boost_amount_collected_small,boost_amount_stolen_small,boost_count_collected_big,boost_count_stolen_big,boost_count_collected_small,boost_count_stolen_small,boost_amount_overfill,boost_amount_overfill_stolen,boost_amount_used_while_supersonic,boost_time_zero_boost,boost_time_full_boost,boost_time_boost_0_25,boost_time_boost_25_50,boost_time_boost_50_75,boost_time_boost_75_100,movement_total_distance,movement_time_supersonic_speed,movement_time_boost_speed,movement_time_slow_speed,movement_time_ground,movement_time_low_air,movement_time_high_air,movement_time_powerslide,movement_count_powerslide,positioning_time_defensive_third,positioning_time_neutral_third,positioning_time_offensive_third,positioning_time_defensive_half,positioning_time_offensive_half,positioning_time_behind_ball,positioning_time_in_front_ball,demo_inflicted,demo_taken,score,winner
6183e1e4f8090ec74528ae58,blue,6020c21af1e4807cc7027254,https://octane.gg/teams/7254-pulse-clan,PULSE CLAN,Asia-Pacific South,58.0,16.0,22.0,14.0,7149.0,27.586206896551722,7639.0,7806.01481,867.9000000000001,46646.0,11630.0,33391.0,7016.0,13255.0,4614.0,399.0,84.0,1135.0,369.0,6555.0,1444.0,5097.0,837.3599999999999,737.4100000000001,2404.39,1372.79,1151.49,1652.6399999999999,9905189.0,1013.22,2751.62,2940.62,3638.7700000000004,2615.73,450.95,170.9,1831.0,2805.32,2307.62,1592.52,3958.08,2747.37,4912.650000000001,1792.8400000000001,12.0,14.0,4.0,True
6183e1e4f8090ec74528ae58,orange,61781f5ff8090ec74528947a,https://octane.gg/teams/947a-disconnected-esports,DISCONNECTED ESPORTS,Asia-Pacific South,39.0,10.0,34.0,7.0,6628.0,25.64102564102564,6521.0,6791.92825,899.6099999999999,40699.0,9257.0,28011.0,5680.0,12688.0,3577.0,345.0,67.0,1124.0,298.0,6737.0,959.0,5079.0,840.25,639.3799999999999,2121.91,1501.3899999999999,1346.6699999999998,1632.56,9369469.0,848.11,2463.73,3401.12,3998.29,2310.9,403.77,150.06,1441.0,3610.08,2054.31,1048.62,4779.110000000001,1933.8600000000001,4853.13,1859.83,14.0,12.0,2.0,False
6183e1e4f8090ec74528ae59,blue,6020c21af1e4807cc7027254,https://octane.gg/teams/7254-pulse-clan,PULSE CLAN,Asia-Pacific South,46.0,10.0,15.0,6.0,5034.0,21.73913043478261,6541.0,6677.89675,748.8599999999999,40114.0,9229.0,28660.0,5367.0,11454.0,3862.0,342.0,67.0,994.0,332.0,5550.0,1349.0,4601.0,660.9,626.0699999999999,1882.3799999999999,1129.92,1005.91,1455.32,8336603.0,861.69,2320.6099999999997,2400.55,3106.6800000000003,2150.91,325.22,145.23000000000002,1498.0,2154.5,1970.13,1458.17,3135.6799999999994,2447.13,4129.610000000001,1453.21,7.0,7.0,4.0,True
6183e1e4f8090ec74528ae59,orange,61781f5ff8090ec74528947a,https://octane.gg/teams/947a-disconnected-esports,DISCONNECTED ESPORTS,Asia-Pacific South,25.0,6.0,25.0,2.0,4729.0,24.0,5227.0,5454.43324,787.82,33054.0,6921.0,22028.0,4257.0,11026.0,2664.0,282.0,48.0,949.0,232.0,6441.0,572.0,3940.0,555.71,632.05,1551.31,1253.66,1001.4100000000001,1678.5400000000002,7679859.0,670.1700000000001,1918.68,3000.07,3451.6899999999996,1823.9299999999998,313.33,124.05999999999999,1130.0,3170.9300000000003,1673.35,744.6899999999999,4106.42,1482.52,4135.89,1453.06,7.0,7.0,1.0,False
6183e0f3f8090ec74528ae29,blue,6020bfd8f1e4807cc701ad54,https://octane.gg/teams/ad54-sandrock-gaming,SANDROCK GAMING,Middle East & North Africa,38.0,10.0,17.0,10.0,4659.0,26.31578947368421,4925.0,5215.215609999999,637.11,30355.0,7136.0,20852.0,4151.0,9503.0,2985.0,259.0,47.0,825.0,252.0,5333.0,642.0,4086.0,322.43,585.88,1197.65,861.33,869.6700000000001,1309.8400000000001,6570514.0,717.6200000000001,1810.31,1776.54,2341.4,1673.2299999999998,289.84000000000003,71.91,607.0,1793.46,1530.69,980.31,2577.5,1726.9699999999998,3059.5,1245.0,11.0,10.0,4.0,True
6183e0f3f8090ec74528ae29,orange,61795194143c37878b23ae93,https://octane.gg/teams/ae93-revolution,REVOLUTION,Middle East & North Africa,21.0,3.0,19.0,2.0,3324.0,14.285714285714285,5345.0,5368.82265,525.87,31343.0,7155.0,21925.0,4730.0,9418.0,2425.0,259.0,57.0,819.0,202.0,3774.0,882.0,5303.0,725.54,360.53,1899.0800000000002,898.99,612.9,809.84,6573180.0,822.6400000000001,1755.44,1716.66,2294.63,1695.74,304.34000000000003,82.28,846.0,2245.83,1266.8700000000001,782.02,2960.33,1334.41,3068.2300000000005,1226.48,10.0,11.0,0.0,False
6183e0f3f8090ec74528ae2a,blue,6020c2a9f1e4807cc702a73d,https://octane.gg/teams/a73d-sleeping,SLEEPING,Middle East & North Africa,53.0,24.0,23.0,17.0,7621.0,45.28301886792453,6350.0,6622.96575,708.81,38905.0,8280.0,27367.0,4785.0,11538.0,3495.0,324.0,55.0,988.0,312.0,5200.0,791.0,5221.0,693.09,583.7099999999999,1972.4599999999998,1277.5,893.69,1236.22,8040733.0,978.41,2100.9,2472.0499999999997,3094.98,2096.6900000000005,359.73,102.94999999999999,891.0,2580.23,1857.53,1113.62,3552.62,1998.76,4088.7200000000003,1462.6599999999999,19.0,18.0,4.0,True
6183e0f3f8090ec74528ae2a,orange,61896708f8090ec74528bb70,https://octane.gg/teams/bb70-saudi-hurricane,SAUDI HURRICANE,Middle East & North Africa,40.0,11.0,24.0,11.0,5716.0,27.500000000000004,6005.0,6386.70128,695.17,37292.0,7488.0,25801.0,4569.0,11491.0,2919.0,300.0,52.0,992.0,253.0,4189.0,687.0,5170.0,697.5,459.4,2109.29,1228.12,912.0999999999999,1121.94,8021156.0,864.7199999999999,2221.03,2456.1,3134.6299999999997,2109.69,297.57000000000005,98.11999999999999,1002.0,2798.5,1781.3899999999999,962.01,3761.56,1780.32,4002.34,1539.51,18.0,19.0,2.0,False
6183e0f3f8090ec74528ae2b,blue,60f48a2a9d3c410761e87f7e,https://octane.gg/teams/7f7e-ankaa,ANKAA,Middle East & North Africa,28.0,6.0,25.0,4.0,4118.0,21.428571428571427,4909.0,5118.21155,564.0,28791.0,5710.0,20039.0,3153.0,8752.0,2557.0,237.0,37.0,744.0,225.0,3700.0,567.0,4035.0,636.03,413.97,1621.09,837.06,655.67,1023.22,6297029.0,741.19,1732.9,1776.78,2241.1200000000003,1774.73,235.01999999999998,65.11,652.0,2013.4099999999999,1354.06,883.4399999999998,2747.73,1503.18,2855.01,1395.9,10.0,9.0,0.0,False
6183e0f3f8090ec74528ae2b,orange,6161c107143c37878b23895e,https://octane.gg/teams/895e-hawks-esports,HAWKS ESPORTS,Middle East & North Africa,41.0,17.0,15.0,12.0,5224.0,41.46341463414634,5276.0,5533.69249,526.94,31174.0,6206.0,21861.0,3303.0,9313.0,2903.0,259.0,40.0,804.0,255.0,3742.0,635.0,4349.0,652.83,298.87,1828.53,880.62,603.61,829.4200000000001,6330567.0,830.1499999999999,1652.46,1764.6,2283.25,1761.17,202.8,87.28,751.0,1969.9,1366.85,910.46,2669.77,1577.44,3255.53,991.6799999999998,9.0,10.0,4.0,True
